sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:205250	Oncorhynchus mykiss	RO:0002453	host of		Abothrium crassum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:204768	Lota lota	RO:0002453	host of		Abothrium crassum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:225402	Coregonus artedi	RO:0002453	host of		Abothrium crassum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:995106	Ictalurus nebulosus	RO:0002453	host of	EOL:13890428	Acetodextra amiuri	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:205064	Ambloplites rupestris	RO:0002453	host of		Achtheres ambloplitis	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:215642	Prosopium cylindraceum	RO:0002453	host of		Achtheres coregoni	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:211716	Coregonus clupeaformis	RO:0002453	host of		Achtheres corpulentus	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:211716	Coregonus clupeaformis	RO:0002453	host of		Achtheres corpulentus	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:205064	Ambloplites rupestris	RO:0002453	host of		Achtheres micropteri	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:207898	Micropterus dolomieui	RO:0002453	host of		Achtheres micropteri	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:224315	Catostomus commersoni	RO:0002453	host of	EOL:578891	Acolpenteron catostomi	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:211083	Catostomus catostomus	RO:0002453	host of	EOL:578891	Acolpenteron catostomi	GEONAMES:6069773	McGregor River	54.18321	-122.03627		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:207063	Catostomus macrocheilus	RO:0002453	host of	EOL:578891	Acolpenteron catostomi	GEONAMES:6069773	McGregor River	54.18321	-122.03627		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:211083	Catostomus catostomus	RO:0002453	host of	EOL:578891	Acolpenteron catostomi	GEONAMES:6098756	Parsnip River	55.16656	-123.05309		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:207063	Catostomus macrocheilus	RO:0002453	host of	EOL:578891	Acolpenteron catostomi	GEONAMES:6098756	Parsnip River	55.16656	-123.05309		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:224315	Catostomus commersoni	RO:0002453	host of	EOL:483310	Actinobdella triannulata	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:211083	Catostomus catostomus	RO:0002453	host of	EOL:483310	Actinobdella triannulata	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:224315	Catostomus commersoni	RO:0002453	host of	EOL:483310	Actinobdella triannulata	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:207898	Micropterus dolomieui	RO:0002453	host of		Actinocleidus fusiformis	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:995106	Ictalurus nebulosus	RO:0002453	host of	EOL:578910	Allocreadium ictaluri	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:206652	Esox lucius	RO:0002453	host of	EOL:4971594	Allocreadium isosporum	GEONAMES:5882842	Aishihik Lake	61.45389	-137.16361		doi:10.1139/f76-294	Arthur, J. R., L. Margolis, and H. P. Arai. 1976. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada 33:2489-2499.
EOL:204794	Thymallus arcticus	RO:0002453	host of	EOL:4971594	Allocreadium isosporum	GEONAMES:5882842	Aishihik Lake	61.45389	-137.16361		doi:10.1139/f76-294	Arthur, J. R., L. Margolis, and H. P. Arai. 1976. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada 33:2489-2499.
EOL:994612	Mylocheilus caurinus	RO:0002453	host of	EOL:4971594	Allocreadium isosporum	GEONAMES:6069773	McGregor River	54.18321	-122.03627		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:994612	Mylocheilus caurinus	RO:0002453	host of	EOL:4971594	Allocreadium isosporum	GEONAMES:6098756	Parsnip River	55.16656	-123.05309		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:210298	Ptychocheilus oregonensis	RO:0002453	host of	EOL:4971594	Allocreadium isosporum	GEONAMES:6098756	Parsnip River	55.16656	-123.05309		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:224315	Catostomus commersoni	RO:0002453	host of	EOL:579293	Allocreadium lobatum	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:28754994	Pimephales promelas	RO:0002453	host of	EOL:579293	Allocreadium lobatum	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:217908	Notropis cornutus	RO:0002453	host of	EOL:579293	Allocreadium lobatum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:136002	Semotilus atromaculatus	RO:0002453	host of	EOL:579293	Allocreadium lobatum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:217913	Notropis hudsonius	RO:0002453	host of	EOL:579293	Allocreadium lobatum	GEONAMES:4996884	Lake Huron	44.75321	-83.13433		doi:10.2307/2422308	Bangham, R. V. 1955. Studies on fish parasites of Lake Huron and Manitoulin Island. American Midland Naturalist 53:184-194.
EOL:204305	Noturus gyrinus	RO:0002453	host of	EOL:398983	Alloglossidium corti	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:995106	Ictalurus nebulosus	RO:0002453	host of		Alloglossidium geminus	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:203994	Carpiodes cyprinus	RO:0002453	host of	EOL:70782	Anonchohaptor	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:224315	Catostomus commersoni	RO:0002453	host of	EOL:70782	Anonchohaptor	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:994609	Moxostoma anisurum	RO:0002453	host of	EOL:70782	Anonchohaptor	GEONAMES:6048587	Lake of the Woods	46.10493	-81.20257		doi:10.1139/f72-046	Dechtiar, A. O. 1972. Parasites of fish from Lake of the Woods, Ontario. Journal of Fisheries Research Board of Canada 29:275-283.
EOL:211083	Catostomus catostomus	RO:0002453	host of		Anonchohaptor anomalus	GEONAMES:5882842	Aishihik Lake	61.45389	-137.16361		doi:10.1139/f76-294	Arthur, J. R., L. Margolis, and H. P. Arai. 1976. Parasites of fishes of Aishihik and Stevens Lakes, Yukon Territory, and potential consequences of their interlake transfer through a proposed water diversion for hydroelectrical purposes. Journal of the Fisheries Research Board of Canada 33:2489-2499.
EOL:211083	Catostomus catostomus	RO:0002453	host of		Anoncohaptor anomalum	GEONAMES:6069773	McGregor River	54.18321	-122.03627		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
EOL:211083	Catostomus catostomus	RO:0002453	host of		Anoncohaptor anomalum	GEONAMES:6098756	Parsnip River	55.16656	-123.05309		doi:10.1139/f83-194	Arai, H. P., and D. R. Mudry. 1983. Protozoan and metazoan parasites of fishes from the headwaters of the Parsnip and McGregor Rivers, British Columbia: a study of possible parasite transfaunations. Canadian Journal of Fisheries and Aquatic Sciences 40:1676-1684.
